"all_restaurant","all_number","all_stars"
"Choolaah Indian BBQ",631,4.35499207606973
"Freshii",59,3.94915254237288
"Pizza Hut",72,1.48611111111111
"Eat'n Park",46,3.34782608695652
"Carhops",47,4.42553191489362
"Flame Urban Chicken Grill",13,4.15384615384615
"Fresh & Meaty Burgers",84,4.16666666666667
"The Chicken Run",38,3.92105263157895
"Taco John's",66,2.65151515151515
"Dilly's Drive-In - Peninsula",11,3.81818181818182
"Speedy's Grub Shack",40,4.075
"Gyro Express",22,3.86363636363636
"Dinner Bell",4,4.75
"Mas Amigos Truck",6,3.66666666666667
"Terrene",20,3.8
"TCBY",7,4.57142857142857
"GetGo Caf & Market",11,3.90909090909091
"Johnny Hot Dog",9,3.88888888888889
"Circle K",5,3.8
"Burrito King",3,2.66666666666667
"Gyros and Wraps",8,4.375
"Mr Hero Restaurants",5,4.2
"Steak Escape West Towne Mall",4,4
"Pizza Pan",7,4.28571428571429
"El Gallo De Oro",6,1.83333333333333
"Snappy's Chill Grill",4,3.5
"Sa-Bai Thong",172,3.43604651162791
"Bearden's Restaurant",100,3.68
"Hot Sauce Williams Barbecue Restaurant",165,3.23030303030303
"Pizza 216",237,3.88185654008439
"Cheba Hut Toasted Subs",63,4.19047619047619
"Glaze Teriyaki",43,3.34883720930233
"Sunset Pizza & Grille",29,4.6551724137931
"Get Some Burritos",22,2.63636363636364
"Arnie's Public House",66,4.34848484848485
"Project: Pizza",45,4.11111111111111
"GetGo from Giant Eagle",41,2.41463414634146
"Mr. Beaners Drive-Thru Weiners",8,3.625
"Chick-Fil-A",3,4
"Pastucci's",26,4.07692307692308
"Michelson & Morley",17,3.94117647058824
"Honey Baked Ham Company",5,4.4
"Hounds Hotdogs & Gyros",19,4.73684210526316
"Roy's By the Tracks",3,4.66666666666667
"Quaker Steak & Lube",51,3.35294117647059
"Pirollo's Delicatessen & Take-Out",6,5
"BRGR",4,1.25
"Grecian Isles",3,1
"MOD Pizza",164,4.17073170731707
"Noodles & Company",98,2.78571428571429
"Mashiso Asian Grille",122,4.01639344262295
"Pizza Ephesus",56,3.51785714285714
"Phuel Cafe",131,3.79389312977099
"Skyline Chili",200,3.745
"Piada Italian Street Food",105,3.13333333333333
"Pedros Pedros",24,2.5
"Olive Garden Italian Restaurant",114,2.28947368421053
"Mars Bar & Cafe",67,4.01492537313433
"South Philly Steak & Fries",11,2.09090909090909
"Big J J Fish & Chicken",44,4.18181818181818
"Mr Hoagie",13,3.69230769230769
"Johnny J's Pub & Grille",53,3.47169811320755
"Roly Poly",37,3.72972972972973
"George's Chicken and Fish",20,3.7
"Cooper Deli",3,4.33333333333333
"A&W Restaurant",51,3.52941176470588
"Hazel's Family Restaurant",12,3.75
"Pedro's Pedro's",4,1.5
"Hms Host Great Lakes Plaza",7,3.42857142857143
"Cousins Subs",4,4
"Shake Shack",40,3.875
"Pittsburgh International Airport",587,3.75809199318569
