"all_restaurant","safety","taste","clean","service","speed","price"
"Backdraft Bar & Grille",NA,0.282442748091603,0.117370892018779,0.451851851851852,0.42962962962963,0.162162162162162
"Steel City Diner",NA,NA,NA,0.337037037037037,0.344444444444444,NA
"Tilted Kilt Pub & Eatery",0.0785123966942149,0.404580152671756,0.408450704225352,0.648148148148148,0.32962962962963,0.225225225225225
"Fernando's",NA,0.952290076335878,NA,0.192592592592593,0.966666666666667,0.144144144144144
"Earl's Dairy Whip",0.0247933884297521,0.935114503816794,NA,0.981481481481482,NA,NA
"Sheetz",0.582644628099174,0.240458015267176,0.530516431924883,0.459259259259259,0.659259259259259,0.481981981981982
"Dairy Queen Orange Julius",0.194214876033058,0.290076335877863,0.906103286384977,0.733333333333333,0.555555555555556,0.54954954954955
"Subway",0.161157024793388,0.110687022900763,0.666666666666667,0.122222222222222,0.411111111111111,0.243243243243243
"Fossil Fuels Caf",NA,NA,0.953051643192488,NA,NA,NA
"Deon's Restaurant",0.524793388429752,0.0687022900763359,0.652582159624413,0.27037037037037,0.274074074074074,0.878378378378378
"Rally's",0.148760330578512,0.213740458015267,0.291079812206573,0.0925925925925926,0.688888888888889,0.572072072072072
"Mr. Chicken",0.115702479338843,0.0305343511450382,0.431924882629108,0.359259259259259,0.333333333333333,0.0765765765765766
"Salad Creations Madison",0.640495867768595,0.370229007633588,0.753521126760563,0.155555555555556,0.67037037037037,0.0315315315315315
"Cha Spirits & Pizza Kitchen",0.0867768595041322,0.820610687022901,NA,0.425925925925926,0.144444444444444,0.653153153153153
"The Place To Be",0.214876033057851,0.469465648854962,0.516431924882629,0.740740740740741,0.803703703703704,0.563063063063063
"Arby's Roast Beef Drive-In",0.859504132231405,0.67175572519084,0.0657276995305164,0.985185185185185,0.118518518518519,NA
"Hong Kong Wok",0.512396694214876,0.980916030534351,0.699530516431925,0.114814814814815,0.72962962962963,0.95045045045045
"Culver's",0.450413223140496,0.473282442748092,0.774647887323944,0.633333333333333,0.751851851851852,0.405405405405405
"Firehouse Subs Mineral Point",0.425619834710744,0.50763358778626,0.882629107981221,0.8,0.596296296296296,0.824324324324324
"Seti's Polish Boys",0.409090909090909,0.763358778625954,0.0187793427230047,0.537037037037037,0.503703703703704,0.828828828828829
"Denny's",0.0909090909090909,0.244274809160305,0.2018779342723,0.355555555555556,0.1,0.527027027027027
"Mr Hero",0.206611570247934,0.568702290076336,0.967136150234742,0.307407407407407,0.348148148148148,0.454954954954955
"Chopsticks Express",0.847107438016529,0.847328244274809,0.962441314553991,0.9,0.748148148148148,0.927927927927928
"Popeyes",NA,NA,NA,0.788888888888889,0.374074074074074,NA
"Daboro's",0.954545454545455,0.961832061068702,NA,0.907407407407407,0.492592592592593,0.207207207207207
"Long John Silver's",0.107438016528926,0.255725190839695,0.112676056338028,0.414814814814815,0.211111111111111,0.315315315315315
"Bob Evans",0.0495867768595041,0.0763358778625954,0.0516431924882629,0.162962962962963,0.037037037037037,0.103603603603604
"Real McCoy Sandwich Shop",1,0.114503816793893,0.788732394366197,0.603703703703704,0.414814814814815,0.644144144144144
"Beckham's B & M Bar B Que",0.231404958677686,0.557251908396947,0.183098591549296,0.0222222222222222,0.2,0.00900900900900901
"Raising Cane's Chicken Fingers",0.619834710743802,0.534351145038168,0.286384976525822,0.396296296296296,0.585185185185185,0.585585585585586
"Applebee's",0.0619834710743802,0.156488549618321,0.0563380281690141,0.325925925925926,0.448148148148148,NA
"Jade Tree Chinese Cuisine",0.892561983471074,0.965648854961832,0.89906103286385,0.585185185185185,0.959259259259259,0.518018018018018
"Inn Cahoots Bar",NA,NA,0.927230046948357,0.974074074074074,0.281481481481481,0.97972972972973
"Al's Fish & Chicken",NA,NA,NA,0.159259259259259,NA,NA
